Shooter,Goalie,Shooter_Year,Goalie_Year
Alex Killorn,Craig Anderson,2016,2016
Valtteri Filppula,Craig Anderson,2016,2016
Blake Comeau,Roberto Luongo,2016,2016
Aaron Ekblad,Semyon Varlamov,2016,2016
Shane Harper,Semyon Varlamov,2016,2016
Jonathan Marchessault,Semyon Varlamov,2016,2016
Shane Harper,Semyon Varlamov,2016,2016
Matt Duchene,Roberto Luongo,2016,2016
Vincent Trocheck,Semyon Varlamov,2016,2016
Joel Eriksson Ek,Cory Schneider,2016,2016
PA Parenteau,Devan Dubnyk,2016,2016
Taylor Hall,Devan Dubnyk,2016,2016
Gustav Nyquist,Martin Jones,2016,2016
Gustav Nyquist,Martin Jones,2016,2016
Andreas Athanasiou,Martin Jones,2016,2016
Lars Eller,Henrik Lundqvist,2016,2016
Alex Ovechkin,Henrik Lundqvist,2016,2016
Brandon Pirri,Braden Holtby,2016,2016
Jimmy Vesey,Braden Holtby,2016,2016
Jimmy Vesey,Braden Holtby,2016,2016
Justin Faulk,Steve Mason,2016,2016
Jordan Staal,Steve Mason,2016,2016
Brandon Manning,Eddie Lack,2016,2016
Jakub Voracek,Eddie Lack,2016,2016
Matt Read,Eddie Lack,2016,2016
Shayne Gostisbehere,Eddie Lack,2016,2016
Lee Stempniak,Steve Mason,2016,2016
Wayne Simmonds,Eddie Lack,2016,2016
Jakub Voracek,Eddie Lack,2016,2016
Josh Anderson,Kari Lehtonen,2016,2016
Scott Hartnell,Kari Lehtonen,2016,2016
Scott Wilson,Juuse Saros,2016,2016
Viktor Arvidsson,Marc-Andre Fleury,2016,2016
Kevin Fiala,Marc-Andre Fleury,2016,2016
Calle Jarnkrok,Marc-Andre Fleury,2016,2016
Kevin Fiala,Marc-Andre Fleury,2016,2016
Viktor Arvidsson,Marc-Andre Fleury,2016,2016
Brayden McNabb,Jacob Markstrom,2016,2016
Tanner Pearson,Jacob Markstrom,2016,2016
Dustin Brown,Jacob Markstrom,2016,2016
Markus Granlund,Peter Budaj,2016,2016
Henrik Sedin,Peter Budaj,2016,2016
Alexander Edler,Peter Budaj,2016,2016
Tanner Pearson,Jacob Markstrom,2016,2016
David Perron,Chad Johnson,2016,2016
Kris Versteeg,Jake Allen,2016,2016
Micheal Ferland,Jake Allen,2016,2016
David Perron,Chad Johnson,2016,2016
Paul Stastny,Chad Johnson,2016,2016
Patrik Berglund,Chad Johnson,2016,2016
David Perron,Chad Johnson,2016,2016
Mark Giordano,Jake Allen,2016,2016
Kris Versteeg,Jake Allen,2016,2016
Artem Anisimov,Frederik Andersen,2016,2016
Tyler Bozak,Scott Darling,2016,2016
William Nylander,Scott Darling,2016,2016
Tyler Motte,Frederik Andersen,2016,2016
James van Riemsdyk,Scott Darling,2016,2016
William Nylander,Scott Darling,2016,2016
Artem Anisimov,Frederik Andersen,2016,2016
Richard Panik,Frederik Andersen,2016,2016
Jonathan Toews,Frederik Andersen,2016,2016
Auston Matthews,Scott Darling,2016,2016
Artemi Panarin,Frederik Andersen,2016,2016
Zach Parise,Thomas Greiss,2016,2016
John Tavares,Darcy Kuemper,2016,2016
Calvin de Haan,Darcy Kuemper,2016,2016
Johnny Boychuk,Darcy Kuemper,2016,2016
Zach Parise,Thomas Greiss,2016,2016
Alan Quine,Darcy Kuemper,2016,2016
Thomas Hickey,Darcy Kuemper,2016,2016
Nino Niederreiter,Thomas Greiss,2016,2016
Mark Letestu,Connor Hellebuyck,2016,2016
Darnell Nurse,Connor Hellebuyck,2016,2016
Zack Kassian,Connor Hellebuyck,2016,2016
Andrew Cogliano,Ryan Miller,2016,2016
Bo Horvat,John Gibson,2016,2016
Cam Fowler,Ryan Miller,2016,2016
Henrik Sedin,John Gibson,2016,2016
Nick Ritchie,Ryan Miller,2016,2016
Corey Perry,Ryan Miller,2016,2016
Shea Weber,Steve Mason,2016,2016
Jakub Voracek,Carey Price,2016,2016
Brendan Gallagher,Steve Mason,2016,2016
Radim Vrbata,Henrik Lundqvist,2016,2016
Josh Jooris,Louis Domingue,2016,2016
J.T. Miller,Louis Domingue,2016,2016
Radim Vrbata,Henrik Lundqvist,2016,2016
Dan Girardi,Louis Domingue,2016,2016
Sam Bennett,Corey Crawford,2016,2016
Patrick Kane,Brian Elliott,2016,2016
Sean Monahan,Corey Crawford,2016,2016
Brian Campbell,Brian Elliott,2016,2016
Kris Versteeg,Corey Crawford,2016,2016
Charlie Coyle,Malcolm Subban,2016,2016
Chris Stewart,Malcolm Subban,2016,2016
Ryan Suter,Malcolm Subban,2016,2016
Jason Zucker,Zane McIntyre,2016,2016
Jason Pominville,Zane McIntyre,2016,2016
Jordan Martinook,Cory Schneider,2016,2016
Taylor Hall,Justin Peters,2016,2016
Taylor Hall,Justin Peters,2016,2016
Adam Henrique,Justin Peters,2016,2016
Oliver Ekman-Larsson,Cory Schneider,2016,2016
Oliver Ekman-Larsson,Cory Schneider,2016,2016
Travis Zajac,Justin Peters,2016,2016
Tyler Ennis,Michal Neuvirth,2016,2016
Matt Moulson,Michal Neuvirth,2016,2016
Matt Moulson,Michal Neuvirth,2016,2016
Travis Konecny,Anders Nilsson,2016,2016
Brayden Schenn,Anders Nilsson,2016,2016
Mark Streit,Anders Nilsson,2016,2016
Claude Giroux,Anders Nilsson,2016,2016
Jakub Voracek,Anders Nilsson,2016,2016
Reilly Smith,Marc-Andre Fleury,2016,2016
Mark Pysyk,Marc-Andre Fleury,2016,2016
Sidney Crosby,James Reimer,2016,2016
Carl Hagelin,James Reimer,2016,2016
Eric Fehr,James Reimer,2016,2016
Dennis Wideman,Carter Hutton,2016,2016
Deryk Engelland,Carter Hutton,2016,2016
Sam Bennett,Carter Hutton,2016,2016
Kevin Shattenkirk,Brian Elliott,2016,2016
Steven Stamkos,Frederik Andersen,2016,2016
Alex Killorn,Frederik Andersen,2016,2016
Steven Stamkos,Frederik Andersen,2016,2016
Victor Hedman,Frederik Andersen,2016,2016
William Nylander,Ben Bishop,2016,2016
Nikita Kucherov,Frederik Andersen,2016,2016
James van Riemsdyk,Ben Bishop,2016,2016
Auston Matthews,Ben Bishop,2016,2016
Vladislav Namestnikov,Frederik Andersen,2016,2016
Jonathan Drouin,Frederik Andersen,2016,2016
Thomas Vanek,Cam Ward,2016,2016
